2025-08-17 13:21:17 INFO: (log.py): Logging setup complete.

2025-08-17 13:21:25 INFO: (control_logic.py): Robot moved up 14cm.

2025-08-17 13:21:26 INFO: (control_logic.py): Robot added to Isaac Sim scene.
2025-08-17 13:21:39 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:39 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:39 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:40 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:40 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:40 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:40 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:40 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:41 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:41 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:41 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:41 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:41 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:42 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:42 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:42 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:42 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:42 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:43 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:43 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:43 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:43 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:43 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:44 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:44 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:44 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:44 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:44 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:45 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:45 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:45 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:45 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:46 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:46 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:46 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:46 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:46 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:47 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:47 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:47 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:47 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:47 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:48 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:48 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:48 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:48 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:49 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:49 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:49 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:49 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:49 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:50 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:50 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:50 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:50 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:50 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:51 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:51 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:51 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:51 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:51 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:52 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:52 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:52 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:52 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:53 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:53 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:53 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:53 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:53 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:54 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:54 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:54 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:54 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:54 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:55 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:55 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:55 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:55 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:56 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:56 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:56 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:56 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:56 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:57 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:57 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:57 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:57 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:57 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:58 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:58 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:58 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:58 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:59 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:59 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:59 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:59 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:21:59 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:00 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:00 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:00 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:00 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:00 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:01 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:01 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:01 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:01 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:01 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:02 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:02 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:02 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:02 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:03 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:03 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:03 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:03 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:03 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:04 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:04 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:04 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:04 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:04 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:05 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:05 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:05 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:05 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:06 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:06 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:06 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:06 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:06 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:07 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:07 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:07 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:07 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:07 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:08 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:08 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:08 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:08 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:09 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:09 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:09 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:09 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:09 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:10 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:10 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:10 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:10 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:10 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:11 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:11 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:11 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:11 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:12 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:12 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:12 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:12 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:12 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:13 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:13 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:13 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:13 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:13 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:14 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:14 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:14 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:14 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:14 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:15 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:15 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:15 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:15 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:16 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:16 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:16 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:16 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:16 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:17 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:17 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:17 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:17 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:17 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:18 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:18 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:18 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:18 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:19 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:19 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:19 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:19 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:19 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:20 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:20 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:20 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:20 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:20 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:21 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:21 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:21 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:21 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:22 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:22 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:22 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:22 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:22 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:23 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:23 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:23 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:23 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:23 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:24 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:24 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:24 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:24 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:25 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:25 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:25 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:25 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:25 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:26 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:26 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:26 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:26 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:26 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:27 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:27 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:27 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:27 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:27 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:28 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:28 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:28 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:28 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:29 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:29 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:29 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:29 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:29 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:30 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:30 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:30 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:30 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:30 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:31 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
2025-08-17 13:22:31 WARNING: SUPPPOSED TO BE MOVING IN W DIRECTION!!!
